Sample in Buffer,Sample in Window,TRIGGER,clk_vector,trigger_adc_buf_in[7:0],trig_vector,diff[8:0],prev_frame_adc[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,UNSIGNED,HEX,SIGNED,UNSIGNED
0,0,0,1,148,0,0,148
1,1,0,0,148,0,0,148
2,2,0,0,148,0,0,148
3,3,0,0,148,0,0,148
4,4,0,1,148,0,0,148
5,5,0,1,148,0,0,148
6,6,0,0,148,0,0,148
7,7,0,0,147,0,0,148
8,8,0,0,147,0,0,148
9,9,0,1,147,0,0,148
10,10,0,1,147,0,0,148
11,11,0,0,147,0,0,148
12,12,0,0,148,0,1,148
13,13,0,0,148,0,1,148
14,14,0,1,148,0,1,148
15,15,0,1,148,0,1,148
16,16,0,0,148,0,1,148
17,17,0,0,148,0,0,148
18,18,0,0,148,0,0,148
19,19,0,1,148,0,0,148
20,20,0,1,148,0,0,148
21,21,0,0,148,0,0,148
22,22,0,0,148,0,0,147
23,23,0,0,148,0,0,147
24,24,0,1,148,0,0,147
25,25,0,1,148,0,0,147
26,26,0,0,148,0,0,147
27,27,0,0,148,0,-1,148
28,28,0,0,148,0,-1,148
29,29,0,1,148,0,-1,148
30,30,0,1,148,0,-1,148
31,31,0,0,148,0,-1,148
32,32,0,0,148,0,0,148
33,33,0,0,148,0,0,148
34,34,0,1,148,0,0,148
35,35,0,1,148,0,0,148
36,36,0,0,148,0,0,148
37,37,0,0,148,0,0,148
38,38,0,0,148,0,0,148
39,39,0,1,148,0,0,148
40,40,0,1,148,0,0,148
41,41,0,0,148,0,0,148
42,42,0,0,147,0,0,148
43,43,0,0,147,0,0,148
44,44,0,1,147,0,0,148
45,45,0,1,147,0,0,148
46,46,0,0,147,0,0,148
47,47,0,0,148,0,1,148
48,48,0,0,148,0,1,148
49,49,0,1,148,0,1,148
50,50,0,1,148,0,1,148
51,51,0,0,148,0,1,148
52,52,0,0,148,0,0,148
53,53,0,0,148,0,0,148
54,54,0,1,148,0,0,148
55,55,0,1,148,0,0,148
56,56,0,0,148,0,0,148
57,57,0,0,148,0,0,148
58,58,0,0,148,0,0,148
59,59,0,1,148,0,0,148
60,60,0,1,148,0,0,148
61,61,0,0,148,0,0,148
62,62,0,0,148,0,0,147
63,63,0,0,148,0,0,147
64,64,0,1,148,0,0,147
65,65,0,1,148,0,0,147
66,66,0,0,148,0,0,147
67,67,0,0,148,0,-1,148
68,68,0,0,148,0,-1,148
69,69,0,1,148,0,-1,148
70,70,0,1,148,0,-1,148
71,71,0,0,148,0,-1,148
72,72,0,0,148,0,0,148
73,73,0,0,148,0,0,148
74,74,0,1,148,0,0,148
75,75,0,1,148,0,0,148
76,76,0,0,148,0,0,148
77,77,0,0,148,0,0,148
78,78,0,0,148,0,0,148
79,79,0,1,148,0,0,148
80,80,0,1,148,0,0,148
81,81,0,0,148,0,0,148
82,82,0,0,147,0,0,148
83,83,0,0,147,0,0,148
84,84,0,1,147,0,0,148
85,85,0,1,147,0,0,148
86,86,0,0,147,0,0,148
87,87,0,0,148,0,1,148
88,88,0,0,148,0,1,148
89,89,0,1,148,0,1,148
90,90,0,1,148,0,1,148
91,91,0,0,148,0,1,148
92,92,0,0,148,0,0,148
93,93,0,0,148,0,0,148
94,94,0,1,148,0,0,148
95,95,0,1,148,0,0,148
96,96,0,0,148,0,0,148
97,97,0,0,148,0,0,148
98,98,0,0,148,0,0,148
99,99,0,1,148,0,0,148
100,100,0,1,148,0,0,148
101,101,0,0,148,0,0,148
102,102,0,0,148,0,0,147
103,103,0,0,148,0,0,147
104,104,0,1,148,0,0,147
105,105,0,1,148,0,0,147
106,106,0,0,148,0,0,147
107,107,0,0,148,0,-1,148
108,108,0,0,148,0,-1,148
109,109,0,1,148,0,-1,148
110,110,0,1,148,0,-1,148
111,111,0,0,148,0,-1,148
112,112,0,0,148,0,0,148
113,113,0,0,148,0,0,148
114,114,0,1,148,0,0,148
115,115,0,1,148,0,0,148
116,116,0,0,148,0,0,148
117,117,0,0,148,0,0,148
118,118,0,0,148,0,0,148
119,119,0,1,148,0,0,148
120,120,0,1,148,0,0,148
121,121,0,0,148,0,0,148
122,122,0,0,147,0,0,147
123,123,0,0,147,0,0,147
124,124,0,1,147,0,0,147
125,125,0,1,147,0,0,147
126,126,0,0,147,0,0,147
127,127,0,0,148,0,0,148
128,128,0,0,148,0,0,148
129,129,0,1,148,0,0,148
130,130,0,1,148,0,0,148
131,131,0,0,148,0,0,148
132,132,0,0,148,0,0,148
133,133,0,0,148,0,0,148
134,134,0,1,148,0,0,148
135,135,0,1,148,0,0,148
136,136,0,0,148,0,0,148
137,137,0,0,148,0,0,148
138,138,0,0,148,0,0,148
139,139,0,1,148,0,0,148
140,140,0,1,148,0,0,148
141,141,0,0,148,0,0,148
142,142,0,0,148,0,0,148
143,143,0,0,148,0,0,148
144,144,0,1,148,0,0,148
145,145,0,1,148,0,0,148
